"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"35280","0.8703125","0.8703125","0.8703125"
"35350","0.8640625","0.8640625","0.8640625"
"35420","0.86875","0.86875","0.86875"
"35490","0.8625","0.8625","0.8625"
"35560","0.8609375","0.8609375","0.8609375"
"35630","0.865625","0.865625","0.865625"
"35700","0.8765625","0.8765625","0.8765625"
"35770","0.8734375","0.8734375","0.8734375"
"35840","0.86875","0.86875","0.86875"
"35910","0.875","0.875","0.875"
"35980","0.8640625","0.8640625","0.8640625"
"36050","0.8734375","0.8734375","0.8734375"
"36120","0.8640625","0.8640625","0.8640625"
"36190","0.871875","0.871875","0.871875"
"36260","0.8640625","0.8640625","0.8640625"
"36330","0.8671875","0.8671875","0.8671875"
"36400","0.865625","0.865625","0.865625"
"36470","0.8671875","0.8671875","0.8671875"
"36540","0.865625","0.865625","0.865625"
"36610","0.865625","0.865625","0.865625"
"36680","0.8671875","0.8671875","0.8671875"
"36750","0.859375","0.859375","0.859375"
"36820","0.8703125","0.8703125","0.8703125"
"36890","0.86875","0.86875","0.86875"
"36960","0.86875","0.86875","0.86875"
"37030","0.8703125","0.8703125","0.8703125"
"37100","0.8734375","0.8734375","0.8734375"
"37170","0.8734375","0.8734375","0.8734375"
"37240","0.86875","0.86875","0.86875"
"37310","0.871875","0.871875","0.871875"
"37380","0.8734375","0.8734375","0.8734375"
"37450","0.8734375","0.8734375","0.8734375"
"37520","0.878125","0.878125","0.878125"
"37590","0.85625","0.85625","0.85625"
"37660","0.8703125","0.8703125","0.8703125"
"37730","0.8625","0.8625","0.8625"
"37800","0.8640625","0.8640625","0.8640625"
"37870","0.86875","0.86875","0.86875"
"37940","0.8765625","0.8765625","0.8765625"
"38010","0.871875","0.871875","0.871875"
"38080","0.86875","0.86875","0.86875"
"38150","0.8640625","0.8640625","0.8640625"
"38220","0.8671875","0.8671875","0.8671875"
"38290","0.875","0.875","0.875"
"38360","0.875","0.875","0.875"
"38430","0.8640625","0.8640625","0.8640625"
"38500","0.875","0.875","0.875"
"38570","0.875","0.875","0.875"
"38640","0.8703125","0.8703125","0.8703125"
"38710","0.8640625","0.8640625","0.8640625"
"38780","0.86875","0.86875","0.86875"
"38850","0.8671875","0.8671875","0.8671875"
"38920","0.859375","0.859375","0.859375"
"38990","0.859375","0.859375","0.859375"
"39060","0.859375","0.859375","0.859375"
"39130","0.8578125","0.8578125","0.8578125"
"39200","0.8578125","0.8578125","0.8578125"
"39270","0.8609375","0.8609375","0.8609375"
"39340","0.8546875","0.8546875","0.8546875"
"39410","0.865625","0.865625","0.865625"
"39480","0.8640625","0.8640625","0.8640625"
"39550","0.875","0.875","0.875"
"39620","0.865625","0.865625","0.865625"
"39690","0.859375","0.859375","0.859375"
"39760","0.8578125","0.8578125","0.8578125"
"39830","0.8640625","0.8640625","0.8640625"
"39900","0.871875","0.871875","0.871875"
"39970","0.875","0.875","0.875"
"40040","0.8734375","0.8734375","0.8734375"
"40110","0.875","0.875","0.875"
"40180","0.871875","0.871875","0.871875"
"40250","0.8703125","0.8703125","0.8703125"
"40320","0.86875","0.86875","0.86875"
"40390","0.86875","0.86875","0.86875"
"40460","0.8703125","0.8703125","0.8703125"
"40530","0.86875","0.86875","0.86875"
